Sample in Buffer,Sample in Window,TRIGGER,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tdata[15:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tlast,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tdata[15:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tlast,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_ar_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_araddr[48:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arburst[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arcache[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arlen[7:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arlock,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arprot[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arqos[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arsize[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_aw_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awaddr[48:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awburst[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awcache[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awlen[7:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awlock,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awprot[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awqos[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awsize[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_b_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_bresp[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_r_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rdata[127:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wdata[127:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wstrb[15:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_aw_ctrl[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_w_ctrl[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wlast,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_b_ctrl[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_bvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_bready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_ar_ctrl[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_r_ctrl[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rlast,AR_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],AW_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],B_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],Interface_(i1:s0)_(DUT_rec_0_m_axis1)[2:0],Interface_(i1:s1)_(usp_rf_data_converter_0_m00_axis)[2:0],Interface_(i1:s2)_(axi_smc_M00_AXI)[2:0],R_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],T_Channel_(i1:s0)_(DUT_rec_0_m_axis1)[2:0],T_Channel_(i1:s1)_(usp_rf_data_converter_0_m00_axis)[2:0],W_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0]
9,9,0,0000,1,0,0,65530,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
10,10,0,0000,1,0,0,65522,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
11,11,0,0000,1,0,0,4,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
12,12,0,0000,1,0,0,42,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
13,13,0,0000,1,0,0,65534,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
14,14,0,0000,1,0,0,65496,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
15,15,0,0000,1,0,0,10,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
16,16,0,0000,1,0,0,65471,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
17,17,0,0000,1,0,0,65532,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
18,18,0,0000,1,0,0,13,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
19,19,0,0000,1,0,0,14,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
20,20,0,0000,1,0,0,65517,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
21,21,0,0000,1,0,0,4,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
22,22,0,0000,1,0,0,65514,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
23,23,0,0000,1,0,0,26,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
24,24,0,0000,1,0,0,23,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
25,25,0,0000,1,0,0,1,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
26,26,0,0000,1,0,0,65510,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
27,27,0,0000,1,0,0,14,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
28,28,0,0000,1,0,0,65508,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
29,29,0,0000,1,0,0,65523,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
30,30,0,0000,1,0,0,65513,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
31,31,0,0000,1,0,0,65483,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
32,32,0,0000,1,0,0,76,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
33,33,0,0000,1,0,0,44,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
34,34,0,0000,1,0,0,65517,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
35,35,0,0000,1,0,0,24,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
36,36,0,0000,1,0,0,29,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
