Sample in Buffer,Sample in Window,TRIGGER,inst_dsp_top/fraser_user_code/U0/mux_en[0:0],inst_dsp_top/fraser_user_code/U0/s_axis_tdata[0:0],inst_dsp_top/fraser_user_code/m_axis_tdata[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
233,233,0,1,1,1853
234,234,0,1,1,50416
235,235,0,1,1,62554
236,236,0,1,1,14828
237,237,0,1,1,4037
238,238,0,1,1,4037
239,239,0,1,1,4037
240,240,0,1,1,4037
241,241,0,1,1,4037
242,242,0,1,1,4037
243,243,0,1,1,4037
244,244,0,1,1,4037
245,245,0,1,1,4037
246,246,0,1,1,51051
247,247,0,1,1,60437
248,248,0,1,1,14123
249,249,0,1,1,6195
250,250,0,1,1,51882
251,251,0,1,1,58330
252,252,0,1,1,13111
253,253,0,1,1,13111
254,254,0,1,1,13111
255,255,0,1,1,13111
256,256,0,1,1,13111
257,257,0,1,1,13111
258,258,0,1,1,13111
259,259,0,1,1,13111
260,260,0,1,1,13111
261,261,0,1,1,8098
262,262,0,1,1,53160
263,263,0,1,1,56519
264,264,0,1,1,11816
265,265,0,1,1,9887
266,266,0,1,1,54320
267,267,0,1,1,54320
268,268,0,1,1,54320
269,269,0,1,1,54320
270,270,0,1,1,54320
271,271,0,1,1,54320
272,272,0,1,1,54320
273,273,0,1,1,54320
274,274,0,1,1,1114
275,275,0,1,1,50630
276,276,0,1,1,63703
277,277,0,1,1,14914
278,278,0,1,1,3317
279,279,0,1,1,51006
280,280,0,1,1,51006
281,281,0,1,1,51006
282,282,0,1,1,51006
283,283,0,1,1,51006
284,284,0,1,1,51006
285,285,0,1,1,51006
286,286,0,1,1,51006
287,287,0,1,1,51006
288,288,0,1,1,61541
289,289,0,1,1,14222
290,290,0,1,1,5046
291,291,0,1,1,51698
292,292,0,1,1,59132
293,293,0,1,1,13379
294,294,0,1,1,7461
295,295,0,1,1,7461
296,296,0,1,1,7461
297,297,0,1,1,7461
298,298,0,1,1,7461
299,299,0,1,1,7461
300,300,0,1,1,7461
301,301,0,1,1,7461
302,302,0,1,1,7461
303,303,0,1,1,52689
304,304,0,1,1,57522
305,305,0,1,1,12246
306,306,0,1,1,8923
307,307,0,1,1,53957
308,308,0,1,1,55753
309,309,0,1,1,55753
310,310,0,1,1,55753
311,311,0,1,1,55753
312,312,0,1,1,55753
313,313,0,1,1,55753
314,314,0,1,1,55753
315,315,0,1,1,55753
316,316,0,1,1,55753
317,317,0,1,1,10848
318,318,0,1,1,14700
319,319,0,1,1,2173
320,320,0,1,1,50943
321,321,0,1,1,62291
322,322,0,1,1,14367
323,323,0,1,1,4299
324,324,0,1,1,4299
325,325,0,1,1,4299
326,326,0,1,1,4299
327,327,0,1,1,4299
328,328,0,1,1,4299
329,329,0,1,1,4299
330,330,0,1,1,4299
331,331,0,1,1,4299
332,332,0,1,1,51473
333,333,0,1,1,60206
334,334,0,1,1,13684
335,335,0,1,1,6332
336,336,0,1,1,52474
337,337,0,1,1,58236
338,338,0,1,1,58236
339,339,0,1,1,58236
340,340,0,1,1,58236
341,341,0,1,1,58236
342,342,0,1,1,58236
343,343,0,1,1,58236
344,344,0,1,1,58236
345,345,0,1,1,58236
346,346,0,1,1,12513
347,347,0,1,1,8229
348,348,0,1,1,53639
349,349,0,1,1,56532
350,350,0,1,1,11313
351,351,0,1,1,9828
352,352,0,1,1,55063
353,353,0,1,1,55063
354,354,0,1,1,55063
355,355,0,1,1,55063
356,356,0,1,1,55063
357,357,0,1,1,55063
358,358,0,1,1,55063
359,359,0,1,1,55063
360,360,0,1,1,55063
361,361,0,1,1,1435
362,362,0,1,1,51195
363,363,0,1,1,63416
364,364,0,1,1,14172
365,365,0,1,1,3166
366,366,0,1,1,51610
367,367,0,1,1,51610
368,368,0,1,1,51610
369,369,0,1,1,51610
370,370,0,1,1,51610
371,371,0,1,1,51610
372,372,0,1,1,51610
373,373,0,1,1,51610
374,374,0,1,1,60945
375,375,0,1,1,13605
376,376,0,1,1,5200
377,377,0,1,1,52157
378,378,0,1,1,59358
379,379,0,1,1,12743
380,380,0,1,1,12743
381,381,0,1,1,12743
382,382,0,1,1,12743
383,383,0,1,1,12743
384,384,0,1,1,12743
385,385,0,1,1,12743
386,386,0,1,1,12743
387,387,0,1,1,12743
388,388,0,1,1,7122
389,389,0,1,1,53328
390,390,0,1,1,57508
391,391,0,1,1,11755
392,392,0,1,1,9284
393,393,0,1,1,54595
394,394,0,1,1,55832
395,395,0,1,1,55832
396,396,0,1,1,55832
397,397,0,1,1,55832
398,398,0,1,1,55832
399,399,0,1,1,55832
400,400,0,1,1,55832
401,401,0,1,1,55832
402,402,0,1,1,55832
403,403,0,1,1,64139
404,404,0,1,1,14148
405,405,0,1,1,2470
406,406,0,1,1,51438
407,407,0,1,1,62025
408,408,0,1,1,13827
409,409,0,1,1,13827
410,410,0,1,1,13827
411,411,0,1,1,13827
412,412,0,1,1,13827
413,413,0,1,1,13827
414,414,0,1,1,13827
415,415,0,1,1,13827
416,416,0,1,1,13827
417,417,0,1,1,4472
418,418,0,1,1,52114
419,419,0,1,1,60081
420,420,0,1,1,13033
421,421,0,1,1,6409
422,422,0,1,1,52964
423,423,0,1,1,58207
424,424,0,1,1,58207
425,425,0,1,1,58207
426,426,0,1,1,58207
427,427,0,1,1,58207
428,428,0,1,1,58207
429,429,0,1,1,58207
430,430,0,1,1,58207
431,431,0,1,1,58207
432,432,0,1,1,12044
433,433,0,1,1,8208
434,434,0,1,1,54248
435,435,0,1,1,56621
436,436,0,1,1,10641
437,437,0,1,1,9690
438,438,0,1,1,9690
439,439,0,1,1,9690
440,440,0,1,1,9690
441,441,0,1,1,9690
442,442,0,1,1,9690
443,443,0,1,1,9690
444,444,0,1,1,9690
445,445,0,1,1,9690
446,446,0,1,1,55456
447,447,0,1,1,5695
448,448,0,1,1,52832
449,449,0,1,1,58911
450,450,0,1,1,12227
451,451,0,1,1,7518
452,452,0,1,1,53851
453,453,0,1,1,53851
454,454,0,1,1,53851
455,455,0,1,1,53851
456,456,0,1,1,53851
457,457,0,1,1,53851
458,458,0,1,1,53851
459,459,0,1,1,53851
460,460,0,1,1,53851
461,461,0,1,1,57444
462,462,0,1,1,11079
463,463,0,1,1,9179
464,464,0,1,1,55280
465,465,0,1,1,55599
466,466,0,1,1,9545
467,467,0,1,1,9545
468,468,0,1,1,9545
469,469,0,1,1,9545
470,470,0,1,1,9545
471,471,0,1,1,9545
472,472,0,1,1,9545
473,473,0,1,1,9545
474,474,0,1,1,9545
475,475,0,1,1,10256
476,476,0,1,1,56755
477,477,0,1,1,54624
478,478,0,1,1,7970
479,479,0,1,1,11509
480,480,0,1,1,58311
481,481,0,1,1,53328
482,482,0,1,1,53328
483,483,0,1,1,53328
484,484,0,1,1,53328
485,485,0,1,1,53328
486,486,0,1,1,53328
487,487,0,1,1,53328
488,488,0,1,1,53328
489,489,0,1,1,53328
490,490,0,1,1,6224
491,491,0,1,1,12513
492,492,0,1,1,60239
493,493,0,1,1,52622
494,494,0,1,1,4342
495,495,0,1,1,53683
496,496,0,1,1,53683
497,497,0,1,1,53683
498,498,0,1,1,53683
499,499,0,1,1,53683
500,500,0,1,1,53683
501,501,0,1,1,53683
502,502,0,1,1,53683
503,503,0,1,1,58248
504,504,0,1,1,11317
505,505,0,1,1,8115
506,506,0,1,1,54796
507,507,0,1,1,56638
508,508,0,1,1,10094
509,509,0,1,1,10094
510,510,0,1,1,10094
511,511,0,1,1,10094
512,512,0,1,1,10094
513,513,0,1,1,10094
514,514,0,1,1,10094
515,515,0,1,1,10094
516,516,0,1,1,10094
517,517,0,1,1,9633
518,518,0,1,1,56142
519,519,0,1,1,55221
520,520,0,1,1,8381
